Sector,Coordinates,lat,long
45,"28.4466° N, 77.0660° E",28.4466,77.066
46,"28.4374° N, 77.0586° E",28.4374,77.0586
47,"28.4276° N, 77.0492° E",28.4276,77.0492
48,"28.4177° N, 77.0359° E",28.4177,77.0359
49,"28.4121° N, 77.0480° E",28.4121,77.048
50,"28.4178° N, 77.0628° E",28.4178,77.0628
51,"28.4320° N, 77.0686° E",28.432,77.0686
52,"28.4379° N, 77.0785° E",28.4379,77.0785
53,"28.4433° N, 77.0948° E",28.4433,77.0948
54,"28.4348° N, 77.1089° E",28.4348,77.1089
55,"28.4281° N, 77.1100° E",28.4281,77.11
56,"28.4245° N, 77.0991° E",28.4245,77.0991
57,"28.4232° N, 77.0752° E",28.4232,77.0752
58,"28.4200° N, 77.1105° E",28.42,77.1105
59,"28.4051° N, 77.1097° E",28.4051,77.1097
60,"28.4003° N, 77.0975° E",28.4003,77.0975
61,"28.4050° N, 77.0963° E",28.405,77.0963
62,"28.4139° N, 77.0886° E",28.4139,77.0886
63,"28.3971° N, 77.0867° E",28.3971,77.0867
64,,,
65,"28.4030° N, 77.0690° E",28.403,77.069
66,"28.3925° N, 77.0541° E",28.3925,77.0541
67,"28.3859° N, 77.0608° E",28.3859,77.0608
68,"28.3853° N, 77.0484° E",28.3853,77.0484
69,"28.3966° N, 77.0341° E",28.3966,77.0341
70,"28.3968° N, 77.0233° E",28.3968,77.0233
71,"28.4104° N, 77.0281° E",28.4104,77.0281
72,"28.4225° N, 77.0211° E",28.4225,77.0211
73,"28.4072° N, 77.0118° E",28.4072,77.0118
74,"28.4158° N, 77.0118° E",28.4158,77.0118
75,"28.3925° N, 77.0089° E",28.3925,77.0089
76,"28.3935° N, 76.9888° E",28.3935,76.9888
77,"28.3801° N, 76.9845° E",28.3801,76.9845
78,"28.3733° N, 76.9729° E",28.3733,76.9729
79,"28.3624° N, 76.9787° E",28.3624,76.9787
80,"28.3659° N, 76.9557° E",28.3659,76.9557
81,"28.3867° N, 76.9485° E",28.3867,76.9485
82,"28.3935° N, 76.9600° E",28.3935,76.96
83,,,
84,"28.3979° N, 76.9736° E",28.3979,76.9736
85,"28.4042° N, 76.9513° E",28.4042,76.9513
